id,code_origin,name_origin,type,code_change,name_change,create_time,edit_time
211,370402202000,西王庄乡,撤乡建镇,370402105000,西王庄镇,12/21/2017 11:19:57,12/21/2017 11:19:57
212,371482202000,莒镇乡,撤乡建镇,371482108000,莒镇,12/21/2017 11:19:57,12/21/2017 11:19:57
213,410211100000,杏花营镇,撤镇建街道,410211003000,杏花营街道,12/21/2017 11:19:57,12/21/2017 11:19:57
214,,,新设街道,411328004000,兴唐街道,12/21/2017 11:19:57,12/21/2017 11:19:57
215,,,新设街道,410211004000,金耀街道,12/21/2017 11:19:57,12/21/2017 11:19:57
216,,,新设街道,411725002000,三里河街道,12/21/2017 11:19:57,12/21/2017 11:19:57
217,,,新设街道,411725003000,朗陵街道,12/21/2017 11:19:57,12/21/2017 11:19:57
218,411725100000,盘龙镇,撤镇建街道,411725001000,盘龙街道,12/21/2017 11:19:57,12/21/2017 11:19:57
219,410225103000,张君墓镇,更名,410225103000,考城镇,12/21/2017 11:19:57,12/21/2017 11:19:57
220,410821202000,高村乡,更名,410821202000,王屯乡,12/21/2017 11:19:57,12/21/2017 11:19:57
221,410581203000,石板岩乡,撤乡建镇,410581115000,石板岩镇,12/21/2017 11:19:57,12/21/2017 11:19:57
222,410902202000,岳村乡,撤乡建镇,410902100000,岳村镇,12/21/2017 11:19:57,12/21/2017 11:19:57
223,410926202000,陈庄乡,撤乡建镇,410926106000,陈庄镇,12/21/2017 11:19:57,12/21/2017 11:19:57
224,410928205000,王称堌乡,撤乡建镇,410928110000,王称堌镇,12/21/2017 11:19:57,12/21/2017 11:19:57
225,,,新设街道,411023001000,新元街道,12/21/2017 11:19:57,12/21/2017 11:19:57
226,,,新设街道,411023002000,许由街道,12/21/2017 11:19:57,12/21/2017 11:19:57
227,411121205000,九街乡,撤乡建镇,411121108000,九街镇,12/21/2017 11:19:57,12/21/2017 11:19:57
228,411122205000,王孟乡,撤乡建镇,411122109000,王孟镇,12/21/2017 11:19:57,12/21/2017 11:19:57
229,411503201000,肖王乡,撤乡建镇,411503108000,肖王镇,12/21/2017 11:19:57,12/21/2017 11:19:57
230,,,新设街道,411523001000,金兰山街道,12/21/2017 11:19:57,12/21/2017 11:19:57
