,province,city,code_num,code_province,code_city,code_area
3100,海南省,三沙市,460300000000,460000000000,460300000000,460300000000
3107,新疆维吾尔自治区,伊犁哈萨克自治州,654000000000,650000000000,654000000000,654000000000
3111,湖北省,黄冈市,421100000000,420000000000,421100000000,421100000000
3112,内蒙古自治区,呼伦贝尔市,150700000000,150000000000,150700000000,150700000000
3125,四川省,巴中市,511900000000,510000000000,511900000000,511900000000
3130,广西壮族自治区,北海市,450500000000,450000000000,450500000000,450500000000
3152,辽宁省,鞍山市,210300000000,210000000000,210300000000,210300000000
3163,安徽省,黄山市,341000000000,340000000000,341000000000,341000000000
3165,新疆维吾尔自治区,和田地区,653200000000,650000000000,653200000000,653200000000
3192,浙江省,嘉兴市,330400000000,330000000000,330400000000,330400000000
3198,河南省,南阳市,411300000000,410000000000,411300000000,411300000000
